"Data for 1970, 1980, 1990 and 2000 are from the Population Censuses.  Data for 1995 and 2005 are from the General Household Surveys.  Data for other years are from the Comprehensive Labour Force Surveys.  Data from the Population Censuses and General Household Surveys are not comparable to the other years due to differences in coverage and methodology.  Data for 1970 pertain to total population aged 15 years and over.  Data for 2007 have been adjusted based on latest revised population estimates from DOS to facilitate comparisons with 2008 onwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion Of Employed Residents (15 Years & Over) Who Are Females (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1970, 1980, 1990 and 2000 are from the Population Censuses.  Data for 1995 and 2005 are from the General Household Surveys.  Data for other years are from the Comprehensive Labour Force Surveys.  Data from the Population Censuses and General Household Surveys are not comparable to the other years due to differences in coverage and methodology.  Data for 1970 pertain to total population aged 15 years and over.  Data for 2007 have been adjusted based on latest revised population estimates from DOS to facilitate comparisons with 2008 onwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proportion Of Professionals, Managers, Executives & Technicians Among Male Employed Residents (15 Years & Over) (Per Cent):",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are from the Population Censuses (1970, 1980, 1990 & 2000), General Household Surveys (1995 & 2005) and Comprehensive Labour Force Surveys.  Data from the Population Censuses and General Household Surveys are not comparable to the other years due to differences in coverage and methodology.  Data for 1970 pertain to all employed persons aged 10 years and over.  For 1970, data are classified according to the Standard Classification of Occupations, Singapore, 1969.  For 1980, data are classified according to the Singapore Standard Occupational Classification (SSOC) 2000. Data for 1990 and 1995 are classified according to the SSOC 2015. Data for 2000-2005, 2007-2020 were mapped to SSOC 2020 as far as possible to facilitate data comparability.  2006 data are not available as the level of occupational detail collected in 2006 did not support mapping.  Data for 2007 have been adjusted based on latest revised population estimates from DOS to facilitate comparisons with 2008 onwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proportion Of Professionals, Managers, Executives & Technicians Among Female Employed Residents (15 Years & Over) (Per Cent):",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are from the Population Censuses (1970, 1980, 1990 & 2000), General Household Surveys (1995 & 2005) and Comprehensive Labour Force Surveys.  Data from the Population Censuses and General Household Surveys are not comparable to the other years due to differences in coverage and methodology.  Data for 1970 pertain to all employed persons aged 10 years and over.  For 1970, data are classified according to the Standard Classification of Occupations, Singapore, 1969.  For 1980, data are classified according to the Singapore Standard Occupational Classification (SSOC) 2000. Data for 1990 and 1995 are classified according to the SSOC 2015. Data for 2000-2005, 2007-2020 were mapped to SSOC 2020 as far as possible to facilitate data comparability.  2006 data are not available as the level of occupational detail collected in 2006 did not support mapping.  Data for 2007 have been adjusted based on latest revised population estimates from DOS to facilitate comparisons with 2008 onwards.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Marriage:,,,,,,,,,,,,,,,,,,,,,,,,,,,
First marriage is a marriage in which neither the groom nor bride had previously been married.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Literacy Rate:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Literacy rate refers to the proportion of population who are able to read with understanding (e.g. a newspaper). It is derived based on information as reported in household surveys, as well as administrative data. Persons whose literacy is not known from surveys or administrative records are excluded from the computation of literacy rate.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Years of Schooling:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean years of schooling refers to the years of education a person received on average.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Population:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident population comprises two groups of people. They are Singapore Citizens and Permanent Residents. The latter group refers to non-Citizens who have been granted permanent residence here.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 28/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,
