  40 - 44 Years,146.3,129.8,122.3,127.4,127.3,125.2,124.4,124.9,119.6,118.9,118.1,113.3,108.4,106.1,108.3,104.7,106,97.2,97.1,92.9,92.1,93.6,85.2,86.7,87.8,80.6,76.5,68.8,65.6,65.4,62.7,60.6,53.1
  45 - 49 Years,143,117.1,120.7,128.6,122.2,122.2,115.9,113.6,109.9,112.6,114.8,111.2,109.3,103.1,103.6,103.1,101.9,87.8,87.6,81.4,80.1,77.6,69,72,68.4,65.4,61.2,53.6,46.5,42.4,36.9,32.7,28.6
  50 - 54 Years,113.9,99,105.7,109.6,110.7,105.1,110.9,109.6,111.6,105.1,100.5,99.7,95.5,89.8,87.5,82,77.2,65.1,62.1,62.3,56.6,54.7,45.6,42.3,39.3,33.9,27.8,24.7,27.4,26,26.5,22.8,20.6
  55 - 59 Years,99.5,93.6,96.2,98.9,89.1,85,92,89.9,89.6,80.8,74,72.2,65.7,54.4,52.5,50.4,47.5,37.8,36.7,29.8,28.6,22.7,18.6,20.7,19.8,18.4,18.2,15.8,15.8,13.7,11.9,11,11.2
  60 - 64 Years,81.6,81.4,72.4,64.8,68.2,64.8,61.8,57.9,54.2,49.3,44.1,38.9,34.2,29.6,25.8,21,16.9,12.2,11.9,12.7,12.1,11.5,8.8,10.8,7.2,7.6,7,5.7,6.1,5,5.8,5.5,5.8
  65 Years & Over,83.3,78,68.8,61.7,55.5,53.2,47.8,43.9,41.2,33.2,28.8,24.3,19.2,17.2,15.7,14,14.3,8,7.9,7.7,6.4,6.8,5.4,6,5.5,5.9,5.8,4.5,4.8,3.7,4.1,3.6,5.6
Female Unemployed Residents,43.4,56,60.8,49.5,42.7,45.1,46.2,40.2,40.2,41.9,39.5,39.6,39.4,55.8,36.6,34.8,39.5,47.3,44.5,43.4,39,26.2,41.7,33.3,22.6,15.7,19.8,18.3,17.4,16.9,15.9,10.7,8.2
  15 - 19 Years,1.3,1.2,2.8,2.3,1.8,1.8,2.2,2.1,1.5,1.6,2,2.4,3,3.3,2.2,2.1,2.4,2.6,2.5,1.7,2.1,3.1,2.9,2.9,1.7,1.1,2.1,2.1,2.3,2.6,2.7,1.9,1.5
  20 - 24 Years,5.6,9.7,12.2,10.6,8.9,10.2,9.4,8.8,8.9,9.8,9.2,8.7,8.5,10.2,8.3,7.1,7.7,6.7,9.8,9.8,9.9,5.6,6.1,8.4,7.2,5.1,6.9,5.7,7,6.6,6.1,3,2.5
  25 - 29 Years,5.7,6.3,6.7,5.3,6.1,4.6,4.9,5.3,5.3,5.1,3.8,4.5,5.8,7.3,4.2,4.3,5.2,5.9,6.8,6.4,5,3.9,6.4,4.7,3.8,2.5,3.1,2.9,2.4,2.3,2.4,1.8,1.6
  30 - 34 Years,5.4,6.1,4.8,4.4,3.8,3.2,4.1,3.8,4.3,4.2,3.8,4.2,4.6,6.2,4.5,3.9,4.4,6,5.6,6.4,4.7,2.7,5.5,3.9,2.5,2.1,1.6,2.3,1.6,1.3,1.8,1.1,1
  35 - 39 Years,4.3,4.7,6.1,4.1,3.7,4.6,5.4,2.9,4,5.1,4.7,4.3,3.4,6.9,3.9,4.3,5,6,4.6,5.1,4.3,3.3,5.7,3.5,2.4,1.6,2,1.9,1.2,1.4,1.1,1.3,0.7
  40 - 44 Years,3.3,7.1,5.7,5.2,3.8,5.5,4.2,4.3,4.1,4.1,3.8,4.2,4.3,6.3,4.4,4,4.1,6.3,4.9,5.1,4.1,2.6,5.8,3.7,1.9,1.3,1.6,1.6,1.3,1.2,0.6,0.9,0.5
  45 - 49 Years,5.4,7.5,6,5.4,4.5,4.4,4.8,3.4,3.7,4.1,3.8,4.3,3.5,6,3.6,3.5,4.6,6.1,5.2,4.5,4.3,2.6,4.7,3.2,1.7,1.3,1.1,1.1,0.7,0.6,0.4,0.2,0.3
  50 - 54 Years,3.9,4,5.1,4.9,3.5,4.7,4,3.4,2.9,2.9,3.5,3.1,3.1,4.8,2.6,2.9,2.9,4.2,3,3.1,2.7,1.4,2.9,1.1,0.8,0.3,0.9,0.5,0.3,0.4,0.4,0.2,0.1
  55 - 59 Years,3.2,4.1,4.8,3.5,3.4,2.9,3.4,3,2.4,2.9,2.2,2.2,1.8,2.8,1.6,1.9,2,2.3,1.5,1,1,0.5,1,0.9,0.4,0.2,0.4,0.2,0.2,0.2,0.1,0.2,0
  60 - 64 Years,2.5,2.6,2.8,1.7,1.7,1.7,2.2,1.6,1.8,1.1,1.6,1.4,0.9,1.4,0.9,0.5,0.7,0.8,0.1,0.3,0.6,0.3,0.5,0.7,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0,0
  65 Years & Over,2.9,2.4,3.7,2.1,1.4,1.4,1.7,1.6,1.3,1,1.2,0.4,0.5,0.7,0.4,0.4,0.5,0.4,0.3,0.1,0.3,0.1,0.2,0.3,0,0.1,0,0,0.1,0,0.1,0.1,0
Female Residents Outside The Labour Force,657.7,626.7,689.4,685.2,693.3,692.1,677.9,665.4,693.2,689.3,691,694.8,690.6,698.3,666.5,674.6,674.1,678,680.6,674.8,659.6,629.5,630.1,621.4,630.5,614.7,597.3,616.5,589.2,583.5,568.6,559.2,529
  15 - 19 Years,79.5,76.6,93.2,99.6,105.2,106.1,105.7,106.2,108.9,114.2,118.2,118.7,113,118.4,113.3,112.6,107.3,105.2,100.9,95.2,91.1,89.1,87.6,85.9,91,85.6,87.1,87,80.5,83.9,82.2,81.8,80.5
  20 - 24 Years,40.1,36.1,50.5,43.2,44.6,44.9,47.7,41.5,51.2,48.6,48.3,47.5,39.7,41.8,35.1,35.3,31.1,38.6,36,33.8,36.9,31.1,32.8,28.9,32.8,31,28.1,29.7,29.9,28.7,27.9,23.4,25.6
  25 - 29 Years,10,12.6,12.3,12.8,14.1,13.2,12.6,12.8,14,14.6,15.7,16.3,18.3,18.4,19.1,16,19.7,19.3,20.1,20.3,22.3,22.5,23.9,26.1,26.1,25.4,26.6,28.6,30.3,31.8,34.2,36.3,35.1
  30 - 34 Years,15.7,17,17.5,16.8,21.1,18.4,21,23.1,24.8,23.8,24.3,28.6,28.4,30,28.8,31.4,33.7,35.3,37.9,39,41.8,41.8,42.2,46,48,50,51.2,57.3,55.4,54.7,53.5,57.4,54.2
  35 - 39 Years,22.8,23.4,25,27.8,29.5,27.7,26.6,29.1,28.5,32.1,33.6,35.8,41.1,41.4,41,42.6,45.7,48.6,49.3,53.9,60.6,60.4,59.4,61.3,59.2,62.8,61.1,65.2,62.1,60.8,59.5,57,54.9
  40 - 44 Years,30.1,24.7,29.3,30.8,30.8,34.9,31.8,34.7,34.8,40.1,41,41.5,42.4,45.4,48.5,48.7,52.6,54.4,57.7,58.3,58.9,59.1,60.7,60.1,61,60.3,60.2,59.9,56.4,56.4,53.3,53,47
  45 - 49 Years,31.1,30,34,32.8,35.5,36.2,35.8,38,40.6,42.9,43,46.1,50.9,51.6,48.8,55.7,54.4,55.9,57.6,60,56.8,51.8,54.4,50.9,55.6,54.3,52.8,51.5,46.8,44,41.1,38.4,34.4
  50 - 54 Years,38.8,32.3,43.9,46,45.6,44.3,48.5,47,48.2,54.3,54.6,52.7,53.3,55.6,55.2,55.5,54.5,59.2,58,55.6,55.2,53.4,54,49.5,46.2,42.1,36,40.9,44.6,44.8,46.7,45,37.7
  55 - 59 Years,50.3,49,54.8,59.4,56.5,54.3,55.8,54.9,57.8,57.9,59.4,60.6,63.1,58.3,58.6,59.3,61.3,61.6,57.2,54.3,46.8,38.5,43.5,45.1,46.3,49.7,45.9,45.6,45.2,44.6,41.6,41.9,38.9
  60 - 64 Years,65.8,72.8,67.8,64.5,71.5,66.8,67.2,65.2,67.3,63.6,64,64.7,64.2,63.1,54,52.1,49.6,48.1,53.1,55.4,54.2,51.4,47.9,47.7,45.3,42.5,41.3,43.9,42.1,42.8,41.4,38.6,36.1
  65 Years & Over,273.6,252.1,261.1,251.5,239.1,245.2,225.1,213,217.2,197.1,188.7,182.3,176.4,174.5,163.9,165.5,164.3,151.8,152.7,149.1,135.1,130.4,123.6,119.9,118.9,110.9,107,106.7,95.8,90.9,87.1,86.5,84.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residents comprise Singapore citizens and permanent residents.  Based on mid-year Labour Force Survey except Census yrs 1990, 2000 and General Household Surveys 1995 and 2005.  Data from the Labour Force Survey are not comparable with those from Censuses 1990 and 2000 and GHS 1995 and 2005 due to differences in coverage and methodology.  To facilitate comparison with 2008, 2007 Labour Force Survey data have been adjusted based on Singapore Department of Statistics revised population estimates (released in February 2008) which exclude Singapore residents who have been away from Singapore for a continuous period of 12 months or longer. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 03/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
